experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
Senior-Level,Full-Time,Data Scientist,199700,US,Medium
Mid-Level,Full-Time,Data Analyst,105000,US,Medium
Mid-Level,Full-Time,Data Engineer,140000,US,Medium
Entry-Level,Full-Time,Research Analyst,300000,US,Medium
Mid-Level,Full-Time,Data Engineer,45391,NL,Large
Senior-Level,Full-Time,Data Scientist,156400,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,300000,US,Medium
Mid-Level,Full-Time,Data Scientist,220000,US,Medium
Mid-Level,Full-Time,Data Engineer,113000,US,Medium
Senior-Level,Full-Time,Data Analyst,165000,US,Medium
Senior-Level,Full-Time,Data Scientist,143100,CA,Medium
Senior-Level,Full-Time,Data Engineer,120000,US,Medium
Mid-Level,Full-Time,Data Scientist,160000,US,Medium
Mid-Level,Full-Time,Data Engineer,97000,US,Medium
Senior-Level,Full-Time,Data Scientist,204100,US,Medium
Senior-Level,Full-Time,Data Analyst,110600,US,Medium
Senior-Level,Full-Time,Data Analyst,120000,US,Medium
Executive-Level,Full-Time,Staff Data Analyst,15000,CA,Medium
Senior-Level,Full-Time,Data Infrastructure Engineer,185000,US,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,229900,US,Medium
Senior-Level,Full-Time,Data Operations Specialist,206500,US,Medium
Senior-Level,Full-Time,Data Analyst,81666,US,Medium
Senior-Level,Full-Time,Machine Learning Scientist,145000,US,Medium
Senior-Level,Full-Time,Data Scientist,191475,US,Medium
Senior-Level,Full-Time,Data Scientist,48585,ES,Medium
Senior-Level,Full-Time,Research Engineer,190400,US,Medium
Senior-Level,Full-Time,Data Analyst,79000,US,Medium
Senior-Level,Full-Time,Research Engineer,203000,US,Medium
Senior-Level,Full-Time,Research Analyst,83000,US,Medium
Senior-Level,Full-Time,Data Scientist,134000,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Mid-Level,Full-Time,Data Engineer,72000,US,Medium
Senior-Level,Full-Time,Data Scientist,176000,US,Medium
Senior-Level,Full-Time,Data Scientist,115800,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,140100,US,Medium
Senior-Level,Full-Time,Data Analyst,133650,US,Medium
Senior-Level,Full-Time,Data Engineer,94500,US,Medium
Senior-Level,Full-Time,Research Engineer,176700,US,Medium
Entry-Level,Full-Time,BI Developer,85600,US,Medium
Senior-Level,Full-Time,AI Engineer,176000,US,Medium
Senior-Level,Full-Time,Data Analyst,119610,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,264400,US,Medium
Senior-Level,Full-Time,Data Engineer,260000,US,Medium
Senior-Level,Full-Time,Data Engineer,126000,US,Medium
Entry-Level,Full-Time,Data Analyst,83300,US,Medium
Senior-Level,Freelance,Machine Learning Researcher,50000,UA,Small
Senior-Level,Full-Time,Research Scientist,150000,US,Medium
Senior-Level,Full-Time,Data Science,130300,US,Medium
Senior-Level,Full-Time,Data Science Manager,297300,US,Medium
Mid-Level,Full-Time,Data Specialist,90000,US,Medium
Mid-Level,Full-Time,Data Engineer,240000,US,Medium
Senior-Level,Full-Time,Data Engineer,73100,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,245000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,67672,GB,Medium
Senior-Level,Full-Time,Data Engineer,202000,US,Medium
Senior-Level,Full-Time,NLP Engineer,71475,IT,Medium
Mid-Level,Full-Time,Machine Learning Engineer,100000,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,207700,CA,Medium
Senior-Level,Full-Time,Machine Learning Engineer,146900,US,Medium
Mid-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Data Engineer,190000,US,Medium
Mid-Level,Full-Time,Data Analyst,88000,US,Medium
Senior-Level,Full-Time,Data Analyst,85000,US,Medium
Senior-Level,Full-Time,Data Engineer,170000,US,Medium
Senior-Level,Full-Time,AI Engineer,160000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,73824,GB,Medium
Senior-Level,Full-Time,Machine Learning Engineer,152300,US,Medium
Mid-Level,Full-Time,Data Engineer,64300,US,Medium
Senior-Level,Full-Time,Research Scientist,60757,PT,Large
Mid-Level,Full-Time,Data Engineer,107800,US,Medium
Mid-Level,Full-Time,Data Scientist,97060,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,172200,US,Medium
Senior-Level,Full-Time,Data Architect,242100,US,Medium
Mid-Level,Full-Time,Data Science Practitioner,93900,US,Medium
Mid-Level,Full-Time,Data Scientist,183310,US,Medium
Senior-Level,Full-Time,Data Analyst,115934,US,Medium
Senior-Level,Full-Time,Data Engineer,144000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,219100,US,Medium
Senior-Level,Full-Time,Data Architect,192564,US,Medium
Senior-Level,Full-Time,Data Architect,105200,US,Medium
Senior-Level,Full-Time,Data Scientist,155500,US,Medium
Senior-Level,Full-Time,Data Scientist,143060,US,Medium
Mid-Level,Full-Time,Data Engineer,130000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,84000,VN,Medium
Senior-Level,Full-Time,Data Engineer,141300,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,185000,US,Medium
Executive-Level,Full-Time,Data Analyst,120000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,260000,US,Medium
Mid-Level,Full-Time,Data Engineer,175000,US,Medium
Senior-Level,Full-Time,Research Scientist,333500,US,Medium
Senior-Level,Full-Time,Data Engineer,152000,US,Medium
Senior-Level,Full-Time,Computer Vision Engineer,220000,US,Medium
Senior-Level,Full-Time,Data Analyst,110600,US,Medium
Executive-Level,Full-Time,Data Engineer,225000,US,Medium
Executive-Level,Full-Time,Data Architect,180000,US,Medium
Senior-Level,Full-Time,Data Science Lead,84700,US,Medium
Senior-Level,Full-Time,Data Scientist,225000,US,Medium
Senior-Level,Full-Time,Data Engineer,145000,US,Medium
Mid-Level,Full-Time,Data Engineer,128000,US,Medium
Entry-Level,Full-Time,Research Scientist,195200,US,Large
Senior-Level,Full-Time,Data Engineer,56250,GB,Medium
Executive-Level,Full-Time,Data Engineer,239000,US,Medium
Senior-Level,Full-Time,Data Engineer,90300,US,Medium
Mid-Level,Full-Time,Data Analyst,52500,US,Medium
Senior-Level,Full-Time,Data Engineer,247500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,229900,US,Medium
Mid-Level,Full-Time,Insight Analyst,43064,GB,Medium
Executive-Level,Full-Time,Data Science,300000,US,Medium
Senior-Level,Full-Time,Research Analyst,53444,ES,Medium
Entry-Level,Full-Time,Data Analyst,100000,US,Medium
Senior-Level,Full-Time,Data Engineer,162000,US,Medium
Mid-Level,Full-Time,Research Engineer,200000,US,Medium
Mid-Level,Full-Time,Data Scientist,68975,CA,Medium
Senior-Level,Full-Time,Data Analyst,109000,US,Medium
Senior-Level,Full-Time,Data Scientist,184700,US,Medium
Entry-Level,Full-Time,Data Science,60800,US,Medium
Senior-Level,Full-Time,Research Scientist,253750,ES,Medium
Senior-Level,Full-Time,Data Manager,145000,US,Medium
Senior-Level,Full-Time,Data Scientist,204500,US,Medium
Senior-Level,Full-Time,Data Engineer,140000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,170000,US,Medium
Senior-Level,Full-Time,Data Scientist,126600,US,Medium
Senior-Level,Full-Time,Data Engineer,190000,US,Medium
Senior-Level,Full-Time,Data Scientist,150200,US,Medium
Senior-Level,Full-Time,Data Analyst,135000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,225000,US,Medium
Senior-Level,Full-Time,Data Science Manager,150000,MX,Medium
Senior-Level,Full-Time,Data Architect,174000,US,Medium
Senior-Level,Full-Time,Research Scientist,112000,US,Medium
Mid-Level,Full-Time,Machine Learning Researcher,210000,US,Medium
Mid-Level,Full-Time,BI Developer,100000,US,Medium
Mid-Level,Full-Time,Decision Scientist,142200,US,Medium
Senior-Level,Full-Time,Data Scientist,90700,US,Medium
Senior-Level,Full-Time,Data Engineer,156000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,164996,US,Medium
Senior-Level,Full-Time,Data Scientist,154360,US,Medium
Executive-Level,Full-Time,Analytics Engineer,221000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,104300,US,Large
Executive-Level,Full-Time,Data Architect,180000,US,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Senior-Level,Full-Time,Data Science Manager,299500,US,Medium
Mid-Level,Full-Time,Data Operations Specialist,88000,US,Medium
Senior-Level,Full-Time,Data Scientist,155000,US,Medium
Senior-Level,Full-Time,Data Engineer,140000,US,Medium
Mid-Level,Full-Time,Data Engineer,203500,US,Medium
Mid-Level,Full-Time,Analytics Engineer,75000,US,Medium
Senior-Level,Full-Time,Data Engineer,95325,US,Medium
Mid-Level,Full-Time,Data Strategist,65000,US,Medium
Mid-Level,Full-Time,Data Engineer,43187,PL,Large
Entry-Level,Full-Time,Data Integration Specialist,100000,US,Medium
Senior-Level,Full-Time,Data Scientist,48585,ES,Medium
Entry-Level,Full-Time,Machine Learning Engineer,187500,US,Medium
Senior-Level,Full-Time,Data Manager,125500,US,Medium
Senior-Level,Full-Time,Data Architect,363000,US,Medium
Entry-Level,Full-Time,Data Analyst,51500,US,Medium
Senior-Level,Full-Time,Applied Scientist,205000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,190000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,287500,US,Medium
Senior-Level,Full-Time,Data Analyst,175000,US,Medium
Entry-Level,Part-Time,Data Analyst,25216,US,Large
Senior-Level,Full-Time,Data Engineer,146000,US,Medium
Mid-Level,Full-Time,Data Engineer,109000,US,Medium
Senior-Level,Full-Time,Data Scientist,228045,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,128250,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,142200,US,Medium
Mid-Level,Full-Time,Data Product Manager,171000,US,Medium
Mid-Level,Full-Time,Data Engineer,167500,US,Medium
Senior-Level,Full-Time,Data Manager,140000,US,Medium
Senior-Level,Full-Time,Data Analyst,150000,US,Medium
Senior-Level,Full-Time,Data Scientist,140400,US,Medium
Senior-Level,Full-Time,Data Scientist,138900,US,Medium
Mid-Level,Full-Time,Research Engineer,295000,US,Medium
Executive-Level,Full-Time,Data Engineer,265000,US,Medium
Senior-Level,Full-Time,Data Scientist,151300,US,Medium
Senior-Level,Full-Time,Data Analyst,87500,US,Medium
Entry-Level,Full-Time,Data Analyst,50000,GB,Medium
Mid-Level,Full-Time,Data Engineer,120000,US,Medium
Senior-Level,Full-Time,Data Analyst,227000,US,Medium
Senior-Level,Full-Time,Data Architect,86000,US,Medium
Mid-Level,Full-Time,Data Engineer,140000,US,Medium
Senior-Level,Full-Time,Data Engineer,141000,US,Medium
Senior-Level,Full-Time,Data Engineer,185900,US,Medium
Mid-Level,Full-Time,Data Engineer,58400,US,Medium
Senior-Level,Full-Time,Data Engineer,150000,US,Medium
Mid-Level,Full-Time,Analytics Engineer,115000,US,Medium
Executive-Level,Full-Time,Head of Data,246080,GB,Medium
Senior-Level,Full-Time,Data Engineer,200000,US,Large
Entry-Level,Full-Time,Data Analyst,71615,US,Medium
Senior-Level,Full-Time,Applied Scientist,309400,US,Large
Senior-Level,Full-Time,Business Intelligence Engineer,115000,US,Medium
Mid-Level,Full-Time,Data Science,130000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,283780,US,Medium
Senior-Level,Full-Time,Data Scientist,112500,US,Medium
Executive-Level,Full-Time,Data Engineer,116100,US,Medium
Senior-Level,Full-Time,Data Scientist,115500,US,Medium
Senior-Level,Full-Time,Data Scientist,249500,US,Medium
Mid-Level,Full-Time,Data Scientist,55368,GB,Medium
Mid-Level,Full-Time,Data Engineer,90800,US,Medium
Entry-Level,Full-Time,Data Analyst,138000,US,Medium
Senior-Level,Full-Time,Data Scientist,200000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,170000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,204500,US,Medium
Senior-Level,Full-Time,Data Scientist,212000,US,Medium
Senior-Level,Full-Time,Machine Learning Researcher,73100,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,168700,CA,Medium
Entry-Level,Full-Time,Data Analyst,30000,US,Small
Mid-Level,Full-Time,Data Analyst,70000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,150000,US,Medium
Senior-Level,Full-Time,Data Engineer,197430,US,Medium
Senior-Level,Full-Time,Data Engineer,210000,US,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Data Scientist,173000,US,Medium
Entry-Level,Full-Time,Data Engineer,120000,US,Medium
Senior-Level,Full-Time,Data Manager,130000,US,Medium
Mid-Level,Full-Time,Applied Scientist,222200,US,Large
Senior-Level,Full-Time,Data Scientist,300240,US,Medium
Entry-Level,Full-Time,Data Analyst,74400,US,Medium
Senior-Level,Full-Time,Data Engineer,120000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,129300,US,Medium
Entry-Level,Full-Time,Machine Learning Engineer,105300,CA,Medium
Senior-Level,Full-Time,Data Engineer,122600,US,Medium
Executive-Level,Full-Time,Data Scientist,145000,US,Medium
Senior-Level,Full-Time,Lead Data Analyst,170000,US,Large
Mid-Level,Full-Time,Data Operations Associate,55555,DE,Medium
Senior-Level,Full-Time,Data Scientist,247600,US,Large
Senior-Level,Full-Time,Data Engineer,78900,US,Medium
Mid-Level,Full-Time,Data Engineer,133000,US,Medium
Senior-Level,Full-Time,Data Scientist,176000,US,Medium
Entry-Level,Full-Time,Data Engineer,130916,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,147000,US,Medium
Mid-Level,Full-Time,Data Engineer,90000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,99100,US,Medium
Senior-Level,Full-Time,Analytics Engineer,85500,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,130000,US,Medium
Senior-Level,Full-Time,Business Intelligence Analyst,193600,US,Medium
Entry-Level,Full-Time,Data Scientist,57223,NL,Large
Mid-Level,Full-Time,Data Engineer,116888,GB,Large
Senior-Level,Full-Time,Analytics Engineer,205000,US,Medium
Senior-Level,Full-Time,Data Engineer,106800,US,Medium
Mid-Level,Full-Time,Data Engineer,90000,US,Medium
Mid-Level,Full-Time,Data Scientist,231250,US,Medium
Senior-Level,Full-Time,Data Engineer,200000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,233000,US,Medium
Entry-Level,Full-Time,Machine Learning Engineer,108000,US,Small
Senior-Level,Full-Time,Machine Learning Software Engineer,168000,CA,Medium
Mid-Level,Full-Time,Data Engineer,181500,US,Medium
Mid-Level,Full-Time,Data Analytics Manager,124230,US,Medium
Senior-Level,Full-Time,Applied Scientist,222200,US,Large
Senior-Level,Full-Time,Data Engineer,225000,US,Medium
Senior-Level,Full-Time,Data Scientist,250000,US,Medium
Senior-Level,Full-Time,Data Analyst,135000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,230000,US,Medium
Senior-Level,Full-Time,Data Engineer,36773,ES,Medium
Mid-Level,Full-Time,Data Engineer,73100,US,Medium
Senior-Level,Full-Time,Data Engineer,130000,US,Medium
Senior-Level,Full-Time,Data Engineer,63000,US,Medium
Senior-Level,Full-Time,Data Analyst,112715,US,Medium
Senior-Level,Full-Time,Data Scientist,215000,US,Medium
Senior-Level,Full-Time,Applied Scientist,136000,US,Large
Senior-Level,Full-Time,Data Engineer,151000,CA,Medium
Senior-Level,Full-Time,Data Engineer,187000,US,Medium
Mid-Level,Full-Time,Research Scientist,220000,US,Medium
Mid-Level,Full-Time,Data Specialist,73000,US,Medium
Entry-Level,Full-Time,Data Analyst,96800,US,Medium
Mid-Level,Full-Time,Data Scientist,93918,US,Medium
Entry-Level,Full-Time,Data Analyst,106875,US,Medium
Senior-Level,Full-Time,Machine Learning Infrastructure Engineer,152000,US,Medium
Senior-Level,Full-Time,Data Operations Analyst,144000,GB,Medium
Senior-Level,Full-Time,Data Scientist,177500,US,Medium
Senior-Level,Full-Time,Data Engineer,161500,US,Medium
Mid-Level,Full-Time,Data Scientist,212000,EG,Medium
Senior-Level,Full-Time,Data Scientist,160000,US,Medium
Senior-Level,Full-Time,Data Architect,160000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,142200,US,Medium
Senior-Level,Full-Time,Data Analyst,193000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,202800,US,Large
Senior-Level,Full-Time,Machine Learning Engineer,250500,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,163200,US,Medium
Senior-Level,Full-Time,Data Scientist,212800,US,Large
Mid-Level,Full-Time,Data Analytics Manager,242100,US,Medium
Mid-Level,Full-Time,Data Scientist,110000,US,Medium
Mid-Level,Full-Time,Data Scientist,90000,US,Medium
Senior-Level,Full-Time,Data Scientist,170186,US,Medium
Mid-Level,Full-Time,Data Engineer,102000,US,Medium
Senior-Level,Full-Time,Data Analyst,153300,US,Medium
Senior-Level,Full-Time,Data Analyst,150000,US,Medium
Entry-Level,Full-Time,Business Intelligence Analyst,92000,AU,Medium
Senior-Level,Full-Time,Data Engineer,128000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,50000,US,Medium
Mid-Level,Full-Time,BI Developer,81500,US,Medium
Senior-Level,Full-Time,Data Engineer,216000,US,Medium
Entry-Level,Full-Time,Research Engineer,193500,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,120000,US,Small
Entry-Level,Part-Time,Data Analyst,18160,IN,Large
Senior-Level,Full-Time,Data Science,234700,US,Medium
Mid-Level,Full-Time,Research Scientist,118800,US,Medium
Senior-Level,Full-Time,Data Engineer,181940,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,125000,US,Medium
Entry-Level,Full-Time,Data Engineer,58000,US,Medium
Mid-Level,Full-Time,Data Scientist,140400,US,Medium
Senior-Level,Full-Time,Data Architect,234000,US,Medium
Senior-Level,Full-Time,Data Engineer,180000,US,Medium
Senior-Level,Full-Time,Data Scientist,118900,US,Medium
Senior-Level,Full-Time,Data Scientist,190000,US,Medium
Senior-Level,Full-Time,Data Engineer,153600,US,Medium
Senior-Level,Full-Time,Data Engineer,139400,US,Medium
Senior-Level,Full-Time,Data Scientist,218213,US,Medium
Senior-Level,Full-Time,Data Analyst,80000,US,Medium
Mid-Level,Full-Time,Data Analytics Lead,123040,GB,Medium
Senior-Level,Full-Time,Data Engineer,120000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,260000,US,Medium
Senior-Level,Full-Time,Data Scientist,156000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,204500,US,Medium
Senior-Level,Full-Time,Business Intelligence Developer,102000,US,Medium
Senior-Level,Full-Time,ML Engineer,206000,US,Medium
Senior-Level,Full-Time,Data Analyst,126480,US,Medium
Senior-Level,Full-Time,Data Architect,186000,US,Medium
Senior-Level,Full-Time,Data Analyst,158494,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,255800,US,Medium
Senior-Level,Full-Time,Data Engineer,36773,ES,Medium
Senior-Level,Full-Time,Machine Learning Software Engineer,227200,CA,Medium
Senior-Level,Full-Time,Data Engineer,215000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,93300,US,Medium
Mid-Level,Full-Time,Data Scientist,152000,US,Medium
Senior-Level,Full-Time,Data Science,138000,US,Medium
Senior-Level,Full-Time,Data Scientist,130000,US,Medium
Mid-Level,Full-Time,Data Engineer,250000,US,Medium
Entry-Level,Full-Time,Data Analyst,179000,US,Medium
Senior-Level,Full-Time,Data Scientist,162000,US,Medium
Senior-Level,Full-Time,Data Scientist,165000,US,Medium
Senior-Level,Full-Time,Analytics Engineer,143860,US,Medium
Entry-Level,Part-Time,Computer Vision Engineer,28609,DK,Small
Senior-Level,Full-Time,Machine Learning Engineer,255800,US,Medium
Entry-Level,Full-Time,Research Analyst,75753,US,Medium
Senior-Level,Full-Time,Data Analyst,135000,US,Medium
Senior-Level,Full-Time,Data Analyst,52806,GB,Medium
Senior-Level,Full-Time,Data Analyst,170550,US,Medium
Mid-Level,Full-Time,Business Intelligence Engineer,165600,US,Large
Senior-Level,Full-Time,Data Quality Analyst,80000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,204500,US,Medium
Senior-Level,Full-Time,Data Scientist,184800,US,Medium
Senior-Level,Full-Time,Data Architect,185000,US,Medium
Mid-Level,Full-Time,Data Scientist,55000,US,Medium
Mid-Level,Full-Time,Data Scientist,205000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,205600,US,Medium
Senior-Level,Full-Time,Data Scientist,160000,US,Medium
Senior-Level,Full-Time,Data Scientist,170000,US,Medium
Senior-Level,Full-Time,Data Integration Developer,121056,US,Medium
Senior-Level,Full-Time,Data Scientist,192000,US,Medium
Senior-Level,Full-Time,Data Analyst,36912,GB,Small
Executive-Level,Full-Time,Data Engineer,239000,US,Medium
Senior-Level,Full-Time,Data Engineer,254000,US,Medium
Senior-Level,Full-Time,Business Intelligence Engineer,138900,US,Medium
Mid-Level,Full-Time,Data Scientist,140000,US,Medium
Mid-Level,Full-Time,Data Analyst,161000,US,Medium
Senior-Level,Full-Time,Data Scientist,120000,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,142200,US,Medium
Mid-Level,Full-Time,Data Engineer,100000,US,Medium
Mid-Level,Full-Time,BI Data Analyst,98000,US,Medium
Senior-Level,Full-Time,Data Analyst,110000,US,Medium
Entry-Level,Full-Time,Data Analyst,77265,US,Medium
Senior-Level,Full-Time,Data Analyst,74400,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,182000,US,Medium
Mid-Level,Full-Time,Data Modeler,185800,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,204500,US,Medium
Mid-Level,Full-Time,Data Engineer,75000,US,Medium
Mid-Level,Full-Time,ETL Engineer,58444,GB,Medium
Senior-Level,Full-Time,Data Science Manager,249260,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,285000,US,Large
Senior-Level,Full-Time,Data Engineer,123000,US,Medium
Senior-Level,Full-Time,Data Scientist,165000,US,Medium
Senior-Level,Full-Time,Research Scientist,248100,US,Medium
Senior-Level,Full-Time,Decision Scientist,142200,US,Medium
Senior-Level,Full-Time,Research Engineer,133000,US,Medium
Senior-Level,Full-Time,Machine Learning Scientist,186153,CA,Medium
Senior-Level,Full-Time,Research Scientist,248100,US,Medium
Senior-Level,Full-Time,Machine Learning Engineer,115000,US,Medium
Mid-Level,Full-Time,Business Intelligence Manager,164700,US,Medium
Senior-Level,Full-Time,Applied Scientist,230000,US,Medium
Senior-Level,Full-Time,Data Engineer,178000,US,Medium
Senior-Level,Full-Time,Data Scientist,135000,US,Medium
Senior-Level,Full-Time,Data Engineer,250000,US,Medium
Senior-Level,Full-Time,Data Engineer,90700,US,Medium
Mid-Level,Full-Time,Data Engineer,80000,ES,Medium
Senior-Level,Full-Time,Research Scientist,159300,US,Medium
Senior-Level,Full-Time,Business Intelligence,132600,US,Medium
Mid-Level,Full-Time,Data Analyst,109000,US,Medium
Senior-Level,Full-Time,Data Engineer,140100,US,Medium
Mid-Level,Full-Time,Data Scientist,147800,US,Medium
Senior-Level,Full-Time,Data Analyst,80000,US,Small
Senior-Level,Full-Time,Machine Learning Engineer,225000,US,Medium
Senior-Level,Full-Time,Data Scientist,117400,US,Medium
Mid-Level,Full-Time,Data Specialist,73000,US,Medium
Senior-Level,Full-Time,Data Scientist,236400,US,Medium
Mid-Level,Full-Time,Data Scientist,166000,US,Medium
Senior-Level,Full-Time,Data Infrastructure Engineer,151090,US,Medium
Mid-Level,Full-Time,Product Data Analyst,20000,HN,Small
Senior-Level,Full-Time,Data Analyst,116000,US,Medium
Entry-Level,Full-Time,Business Intelligence Analyst,49216,GB,Medium
Senior-Level,Full-Time,Analytics Engineer,130000,CA,Medium
Entry-Level,Full-Time,Research Analyst,49452,US,Medium
Mid-Level,Full-Time,Data Scientist,170200,US,Medium
Senior-Level,Full-Time,Data Manager,155000,US,Medium
Senior-Level,Full-Time,Data Analyst,170000,US,Medium
Mid-Level,Full-Time,ML Engineer,140000,US,Medium
Mid-Level,Full-Time,Data Engineer,88000,CO,Medium
Entry-Level,Full-Time,Data Analyst,192500,US,Medium
Executive-Level,Full-Time,Data Engineer,239000,US,Medium
Senior-Level,Full-Time,Data Engineer,165100,US,Medium
Mid-Level,Full-Time,Data Scientist,115000,US,Medium
Senior-Level,Full-Time,BI Analyst,147000,US,Medium
Entry-Level,Full-Time,Data Engineer,80000,US,Medium
Senior-Level,Full-Time,Data Scientist,125000,US,Medium
Senior-Level,Full-Time,Applied Scientist,222200,US,Large
Senior-Level,Full-Time,Data Analyst,140000,US,Medium
Senior-Level,Full-Time,Data Scientist,190200,US,Medium
Entry-Level,Full-Time,Data Management Analyst,50000,US,Medium
Entry-Level,Full-Time,Data Management Analyst,50000,US,Medium
Mid-Level,Full-Time,Machine Learning Engineer,50000,AM,Small
Senior-Level,Full-Time,Analytics Engineer,720000,US,Medium
Senior-Level,Full-Time,Data Analyst,84400,US,Medium
Senior-Level,Full-Time,Data Scientist,191475,US,Medium
Entry-Level,Full-Time,Applied Scientist,104000,US,Medium
